Anim	Standing	Active	Lying	%HeadDown	DFL1	DFL2	DFL3	DFA12	DFA123	DBL1	DBL2	DBL3	DBA12	DBA123	X_Act	Y_Act	Steps	distance(m)	VarXY	DiffXY	MeanXY	prev_Active1	prev_Active2	prev_Active3	prev_Standing1	prev_Standing2	prev_Standing3	prev_Lying1	prev_Lying2	prev_Lying3	prev_steps1	prev_steps2	prev_steps3	prev_headdown1	prev_headdown2	prev_headdown3	Activity
a8	0.938	0.062	0	81	169.1	165.4	44.3	237.4	413.5	177	160.2	198.5	216.5	270.1	66	48	15	10.18	12.727922061357855	18	57	0.0852	0.157	0.0916	0.9148	0.843	0.9084	0	0	0	21	39	20	51	8	23	G
a1	0.9272	0.0728	0	1	200.7	17	191.4	388	572.2	228.6	22.4	36.7	442.9	485.9	98	14	17	4.72	59.39696961966999	84	56	0.0804	0.0642	0.0988	0.9196	0.9358	0.9012	0	0	0	17	14	20	13	1	0	G
a1	0.9074	0.0926	0	2	76.4	197.5	207.8	282.7	323.2	201.8	197.5	51.2	214.7	388.7	30	3	21	11.94	19.091883092036785	27	16.5	0.0728	0.0804	0.0642	0.9272	0.9196	0.9358	0	0	0	17	17	14	1	13	1	G
a8	0.9204	0.0796	0	75	180.9	40.5	38.5	388.5	467	186	182.9	174.6	281	368.1	99	64	19	7.51	24.748737341529164	35	81.5	0.062	0.0852	0.157	0.938	0.9148	0.843	0	0	0	15	21	39	81	51	8	G
a1	0.8358	0.1642	0	21	171.9	162.9	28.5	193.5	331.8	70.7	20.5	29.2	149.4	163.2	15	18	38	5.58	2.1213203435596424	3	16.5	0.0926	0.0728	0.0804	0.9074	0.9272	0.9196	0	0	0	21	17	17	2	1	13	G
a8	0.8572	0.1428	0	65	192.2	153	166.2	248.2	285.3	43.2	163.6	191.2	212	242.8	34	35	31	5.04	0.7071067811865476	1	34.5	0.0796	0.062	0.0852	0.9204	0.938	0.9148	0	0	0	19	15	21	75	81	51	G
a1	0.7678	0.2322	0	1	68.1	170.1	96.3	269	485.5	168.7	161	136.9	200.7	274.6	28	14	55	26.22	9.899494936611664	14	21	0.1642	0.0926	0.0728	0.8358	0.9074	0.9272	0	0	0	38	21	17	21	2	1	G
a8	0.858	0.142	0	61	38.4	42.3	162.7	93.6	235	197.6	29.5	168.5	383.2	541.2	19	43	31	10.84	16.97056274847714	24	31	0.1428	0.0796	0.062	0.8572	0.9204	0.938	0	0	0	31	19	15	65	75	81	G
a8	0.8834	0.1166	0	29	104.8	181.8	23.6	339.7	524.9	167	186.3	174.2	188	201.3	45	170	26	18.32	88.38834764831844	125	107.5	0.142	0.1428	0.0796	0.858	0.8572	0.9204	0	0	0	31	31	19	61	65	75	G
a1	0.9058	0.0942	0	14	168.9	7.4	3.4	340.1	347.7	176.1	3.6	175.1	348.8	520.5	52	17	21	1.1	24.748737341529164	35	34.5	0.2322	0.1642	0.0926	0.7678	0.8358	0.9074	0	0	0	55	38	21	1	21	2	R
a8	0.8084	0.1916	0	73	34.9	19	175.5	59	247.8	177	154.2	50.5	216.3	347.7	77	46	45	18.91	21.920310216782973	31	61.5	0.1166	0.142	0.1428	0.8834	0.858	0.8572	0	0	0	26	31	31	29	61	65	G
a8	0.9262	0.0738	0	32	22	191.6	5	226.6	413.1	184.1	164.1	24.9	204.6	368.6	42	23	15	21.79	13.435028842544405	19	32.5	0.1916	0.1166	0.142	0.8084	0.8834	0.858	0	0	0	45	26	31	73	29	61	R
a1	0.8958	0.1042	0	73	13.8	71.8	29.2	92.5	163.2	159.3	161.1	5.7	180.2	342.6	9	43	22	5.67	24.041630560342615	34	26	0.0942	0.2322	0.1642	0.9058	0.7678	0.8358	0	0	0	21	55	38	14	1	21	R
